sec-rng.ko	FOUND
spi-mt65xx.ko	FOUND
spmi-mtk-pmif.ko	FOUND
system_heap.ko	FOUND
tcpc_class.ko	FOUND
tcpci_late_sync.ko	FOUND
tcpc_mt6375.ko	FOUND
teeperf.ko	FOUND
tinysys-scmi.ko	FOUND
tui-common.ko	FOUND
ufs-mediatek-dbg.ko	FOUND
ufs-mediatek-mod.ko	FOUND
usb_boost.ko	FOUND
vcp_status.ko	FOUND
wl2864c-regulator.ko	FOUND
xhci-mtk-hcd.ko	FOUND
